OBJECTID,Water_Quality,lon,lat
1,2924,-81.6288,30.3062
2,958,-81.6288,30.3062
3,3873,-81.6288,30.3062
4,14136,-81.6288,30.3062
5,241960,-81.6288,30.3062
6,1314,-81.6288,30.3062
7,389,-81.6288,30.3062
8,3800,-81.6288,30.3062
9,7701,-81.6288,30.3062
10,1725,-81.6288,30.3062
11,3255,-81.6288,30.3062
12,24196,-81.6288,30.3062
13,3070,-81.6288,30.3062
14,86,-81.6288,30.3062
15,2382,-81.6288,30.3062
16,1178,-81.6288,30.3062
17,448,-81.6288,30.3062
18,2481,-81.6288,30.3062
19,1607,-81.6288,30.3062
20,259,-81.6288,30.3062
21,4611,-81.6288,30.3062
22,24196,-81.6288,30.3062
23,14136,-81.6288,30.3062
24,9208,-81.6312,30.3006
25,10462,-81.6305,30.2984
26,24200,-81.6299,30.3006
27,19900,-81.6299,30.3006
28,7700,-81.6299,30.3006
29,15500,-81.6299,30.3006
30,11200,-81.6299,30.3006
31,6490,-81.6299,30.3006
32,7700,-81.6299,30.3006
33,2420,-81.6299,30.3006
34,2420,-81.6299,30.3006
35,2420,-81.6299,30.3006
36,2420,-81.6299,30.3006
37,1990,-81.6299,30.3006
38,1200,-81.6299,30.3006
39,10500,-81.6299,30.3006
40,2420,-81.6299,30.3006
41,2420,-81.6299,30.3006
42,24196,-81.6297,30.3007
43,19863,-81.6297,30.3007
44,24196,-81.6297,30.3007
45,24196,-81.6297,30.3007
46,10462,-81.6297,30.3007
47,8664,-81.6297,30.3007
48,9208,-81.6297,30.3007
49,15531,-81.6297,30.3007
50,19863,-81.6297,30.3007
51,17329,-81.6297,30.3007
52,7701,-81.6297,30.3007
53,6867,-81.6297,30.3007
54,11199,-81.6297,30.3007
55,24196,-81.6297,30.3007
56,11199,-81.6297,30.3007
57,11199,-81.6297,30.3007
58,24196,-81.6297,30.3007
59,8400,-81.6297,30.3007
60,6900,-81.6297,30.3007
61,12033,-81.6297,30.3007
62,14136,-81.6297,30.3007
63,5475,-81.6297,30.3007
64,6131,-81.6297,30.3007
65,4884,-81.6297,30.3007
66,3430,-81.6297,30.3007
67,6488,-81.6297,30.3007
68,7270,-81.6297,30.3007
69,4611,-81.6297,30.3007
70,9804,-81.6297,30.3007
71,12098,-81.6297,30.3007
72,9804,-81.6297,30.3007
73,24196,-81.6297,30.3007
74,9930,-81.6297,30.3007
75,19863,-81.6297,30.3007
76,24196,-81.6297,30.3007
77,8664,-81.6297,30.3007
78,24196,-81.6297,30.3007
79,15531,-81.6297,30.3007
80,19863,-81.6297,30.3007
81,6867,-81.6297,30.3007
82,6867,-81.6297,30.3007
83,24196,-81.6297,30.3007
84,24196,-81.6297,30.3007
85,3873,-81.6297,30.3007
86,8164,-81.6297,30.3007
87,8164,-81.6297,30.3007
88,9804,-81.6297,30.3007
89,4611,-81.6297,30.3007
90,6488,-81.6297,30.3007
91,19863,-81.6297,30.3007
92,1597,-81.6297,30.3007
93,7700,-81.6281,30.3027
94,12000,-81.6281,30.3027
95,5790,-81.6281,30.3027
96,4610,-81.6281,30.3027
97,7700,-81.6281,30.3027
98,4610,-81.6281,30.3027
99,4884,-81.6265,30.3046
100,6131,-81.6265,30.3046
101,12033,-81.6265,30.3046
102,4352,-81.6265,30.3046
103,4106,-81.6265,30.3046
104,2489,-81.6265,30.3046
105,10462,-81.6265,30.3046
106,1576,-81.6265,30.3046
107,7270,-81.6265,30.3046
108,24196,-81.6265,30.3046
109,241960,-81.6265,30.3046
110,1223,-81.6265,30.3046
111,24196,-81.6265,30.3046
112,24196,-81.6265,30.3046
113,241960,-81.6265,30.3046
114,4400,-81.6265,30.3046
115,5500,-81.6265,30.3046
116,2282,-81.6265,30.3046
117,3873,-81.6265,30.3046
118,1421,-81.6265,30.3046
119,2613,-81.6265,30.3046
120,6131,-81.6265,30.3046
121,1540,-81.6265,30.3046
122,4884,-81.6265,30.3046
123,5475,-81.6265,30.3046
124,5794,-81.6265,30.3046
125,5172,-81.6265,30.3046
126,8164,-81.6265,30.3046
127,9930,-81.6265,30.3046
128,3873,-81.6265,30.3046
129,8164,-81.6265,30.3046
130,1515,-81.6265,30.3046
131,24196,-81.6265,30.3046
132,15531,-81.6265,30.3046
133,3448,-81.6265,30.3046
134,1607,-81.6265,30.3046
135,2909,-81.6265,30.3046
136,15531,-81.6265,30.3046
137,2987,-81.6265,30.3046
138,2098,-81.6265,30.3046
139,4106,-81.6265,30.3046
